conv_layers,kernel_size,use_batchnorm,fc_neurons,run,accuracy,PPV,NPV,sensitivity,specificity,F-score
"[8, 2]",8,True,8,2,0.9675,0.9824561403508771,0.953443258971872,0.952,0.983,0.9669883189436261
"[8, 2]",8,True,8,3,0.967,0.9642147117296223,0.9698189134808853,0.97,0.964,0.9670987038883349
"[8, 2]",8,True,32,0,0.976,0.983739837398374,0.968503937007874,0.968,0.984,0.9758064516129031
"[8, 2]",8,True,32,1,0.9675,0.9794871794871794,0.9560975609756097,0.955,0.98,0.9670886075949368
"[8, 2]",8,True,32,2,0.971,0.9767206477732794,0.9654150197628458,0.965,0.977,0.9708249496981891
"[8, 2]",8,True,32,3,0.964,0.9715447154471545,0.9566929133858267,0.956,0.972,0.9637096774193548
"[8, 2]",8,False,2,0,0.763,0.7543520309477756,0.772256728778468,0.78,0.746,0.7669616519174041
"[8, 2]",8,False,2,1,0.5,,0.5,0.0,1.0,
"[8, 2]",8,False,2,2,0.5,,0.5,0.0,1.0,
"[8, 2]",8,False,2,3,0.7145,0.7072463768115942,0.722279792746114,0.732,0.697,0.7194103194103194
"[8, 2]",8,False,8,0,0.811,0.8167006109979633,0.8055009823182712,0.802,0.82,0.8092835519677095
"[8, 2]",8,False,8,1,0.789,0.7784200385356455,0.8004158004158004,0.808,0.77,0.7929342492639844
"[8, 2]",8,False,8,2,0.8345,0.8341658341658341,0.8348348348348348,0.835,0.834,0.8345827086456772
"[8, 2]",8,False,8,3,0.5,,0.5,0.0,1.0,
"[8, 2]",8,False,32,0,0.8415,0.8398009950248756,0.84321608040201,0.844,0.839,0.8418952618453867
"[8, 2]",8,False,32,1,0.5,,0.5,0.0,1.0,
"[8, 2]",8,False,32,2,0.7715,0.767487684729064,0.7756345177664975,0.779,0.764,0.7732009925558313
"[8, 2]",8,False,32,3,0.7155,0.7086156824782188,0.7228541882109617,0.732,0.699,0.720118052139695
"[8, 32]",2,True,2,0,0.5,,0.5,0.0,1.0,
"[8, 32]",2,True,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",2,True,2,2,0.974,0.9759036144578314,0.9721115537848606,0.972,0.976,0.9739478957915834
"[8, 32]",2,True,2,3,0.5,,0.5,0.0,1.0,
"[8, 32]",2,True,8,0,0.9725,0.981651376146789,0.9636898920510304,0.963,0.982,0.97223624432105
"[8, 32]",2,True,8,1,0.9695,0.9805527123848515,0.9589442815249267,0.958,0.981,0.9691451694486596
"[8, 32]",2,True,8,2,0.5,,0.5,0.0,1.0,
"[8, 32]",2,True,8,3,0.5,,0.5,0.0,1.0,
"[8, 32]",2,True,32,0,0.977,0.9722772277227723,0.9818181818181818,0.982,0.972,0.9771144278606966
"[8, 32]",2,True,32,1,0.9725,0.9748743718592965,0.9701492537313433,0.97,0.975,0.9724310776942356
"[8, 32]",2,True,32,2,0.9735,0.9692765113974232,0.9778002018163471,0.978,0.969,0.9736187157789944
"[8, 32]",2,True,32,3,0.97,0.9653465346534653,0.9747474747474747,0.975,0.965,0.9701492537313432
"[8, 32]",2,False,2,0,0.5,,0.5,0.0,1.0,
"[8, 32]",2,False,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",2,False,2,2,0.5,,0.5,0.0,1.0,
"[8, 32]",2,False,2,3,0.81,0.772887323943662,0.8587962962962963,0.878,0.742,0.8220973782771537
"[8, 32]",2,False,8,0,0.81,0.8256302521008403,0.7958015267175572,0.786,0.834,0.805327868852459
"[8, 32]",2,False,8,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",2,False,8,2,0.8145,0.7820627802690583,0.8553672316384181,0.872,0.757,0.8245862884160756
"[8, 32]",2,False,8,3,0.799,0.7632042253521126,0.8460648148148148,0.867,0.731,0.8117977528089886
"[8, 32]",2,False,32,0,0.859,0.8526522593320236,0.8655804480651731,0.868,0.85,0.8602576808721506
"[8, 32]",2,False,32,1,0.8385,0.8628081457663451,0.817244611059044,0.805,0.872,0.8329022245214691
"[8, 32]",2,False,32,2,0.77,0.7076923076923077,0.8857142857142857,0.92,0.62,0.8
"[8, 32]",2,False,32,3,0.846,0.8777292576419214,0.8191881918819188,0.804,0.888,0.8392484342379959
"[8, 32]",4,True,2,0,0.5,,0.5,0.0,1.0,
"[8, 32]",4,True,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",4,True,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",4,True,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",4,True,8,0,0.968,0.975609756097561,0.9606299212598425,0.96,0.976,0.9677419354838709
"[8, 32]",4,True,8,1,0.972,0.9664031620553359,0.9777327935222672,0.978,0.966,0.9721669980119284
"[8, 32]",4,True,8,2,0.5,,0.5,0.0,1.0,
"[8, 32]",4,True,8,3,0.971,0.9757575757575757,0.9663366336633663,0.966,0.976,0.9708542713567839
"[8, 32]",4,True,32,0,0.973,0.9758551307847082,0.9701789264413518,0.97,0.976,0.9729187562688063
"[8, 32]",4,True,32,1,0.966,0.969758064516129,0.9623015873015873,0.962,0.97,0.9658634538152611
"[8, 32]",4,True,32,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",4,True,32,3,0.9715,0.9757820383451059,0.9672943508424182,0.967,0.976,0.9713711702661979
"[8, 32]",4,False,2,0,0.5,,0.5,0.0,1.0,
"[8, 32]",4,False,2,1,0.86,0.879746835443038,0.8422053231939164,0.834,0.886,0.8562628336755647
"[8, 32]",4,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",4,False,2,3,0.865,0.8747433264887063,0.8557504873294347,0.852,0.878,0.8632218844984804
"[8, 32]",4,False,8,0,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",4,False,8,1,0.8635,0.8790406673618353,0.8491834774255523,0.843,0.884,0.8606431852986218
"[8, 32]",4,False,8,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",4,False,8,3,0.868,0.8898305084745762,0.8484848484848485,0.84,0.896,0.8641975308641976
"[8, 32]",4,False,32,0,0.8725,0.8766430738119313,0.8684470820969338,0.867,0.878,0.8717948717948718
